CAD,rpm,CAD in rad,S,volume,pressure(bar),temp_var,gamma_var,P1,T1,gamma1,P2,T2,gamma2,P3,T3,Pm,Sp,vel(m/s),h,h(hohen),Area,d_theta,dQ,dQ(hohen),dV,dP,dP(hohen),P_conv,P_conv(hohen),HRR,HRR(hohen),Heat_flux,Heat_flux(hohen),norm_vel,norm_p,norm_p_h,dA
180.0,726.9784,3.14159,17.77999999997627,3594.939303883022,1.87,357.15,1.3976432859238976,1.87,357.15,1.3976432859238976,1.87,357.15,1.3976432859238976,1.87,357.15,1.8699999999999999,4.308558650666667,9.82351372352,76.4004511120228,50.368156523953886,0.21995577855988444,0.09999999999999432,0.006549489687116722,0.00431785044343546,-0.0019316590410198842,2.1288067459653656e-06,1.8819607530731824e-06,1.870002128806746,1.8700018819607531,285.68025201341317,188.33904040849077,-1.2988076689043875,-0.856258660907216,1.0262133203144392,0.17792685194829833,0.17792890170591186,-4.9849265604251514e-08
180.1,729.0303286,3.1433353277777774,17.77998976286178,3594.937372223981,1.8700013866277252,357.15007292447655,1.3976432817439377,1.870001340359608,357.15007631033774,1.3976432815498634,1.8700013373882862,357.1500763103377,1.3976432815498634,1.8700013373882862,357.1500763103377,1.870001404355749,4.320719747502666,9.851241024306079,76.57295220063563,50.45400495069974,0.21995572871061883,0.09999999999999432,0.006545770800204233,0.0043130157956337584,-0.005806759909773973,4.945677067064334e-06,4.6987075276853965e-06,1.8700062830653532,1.870006036095814,286.3239262448069,188.6591593648829,-1.3017343441029643,-0.8577142339997392,1.0285298928936344,0.17792716816354986,0.1779292179248063,-1.4985186863603062e-07
180.2,731.0822571,3.1450806555555553,17.77995898907369,3594.9315654640714,1.8700055549797678,357.15029214305883,1.397643269178529,1.8700054336205012,357.1503057071663,1.3976432684010462,1.8700054246883637,357.15030570716567,1.3976432684010462,1.8700054246883637,357.15030570716567,1.8700056260001634,4.3328808437460005,9.87896832374088,76.74542857304318,50.53987104195561,0.2199555788587502,0.10000000000002274,0.006542008657453041,0.004308168969156924,-0.009681859015017835,7.762567019084371e-06,7.51547710970431e-06,1.870013187255383,1.8700129401654735,286.96478731544534,188.97755363632248,-1.304648824114285,-0.8591623573125146,1.0308451616801697,0.17792769369869402,0.1779297434660047,-2.4985442620417686e-07
180.3,733.1341857,3.146825983333333,17.779907678621342,3594.9218836050563,1.8700125050869434,357.1506576566584,1.3976432482275813,1.87001234419902,357.1506881914238,1.3976432464773505,1.8700123293059292,357.1506881914207,1.3976432464773507,1.8700123293059325,357.1506881914208,1.8700126649645363,4.345041940582,9.906695624526959,76.91788327655243,50.6257566337498,0.219955329004324,0.09999999999999432,0.006538203463189016,0.0043033100138657795,-0.013556955172134622,1.0579497603805039e-05,1.033229048345764e-05,1.8700229088035363,1.870022661596416,287.60282831557635,189.2942209698194,-1.3075510814740137,-0.8606030225623594,1.0331591312893373,0.17792843368566508,0.17793048346150062,-3.498569076110236e-07
180.4,735.1861143,3.148571311111111,17.77983583152036,3594.908326649884,1.8700222370006274,357.15116946679507,1.3976432188909438,1.8700220721458845,357.15122376467406,1.3976432157786172,1.870022051291627,357.15122376466445,1.3976432157786176,1.8700220512916303,357.15122376466445,1.8700225213010353,4.357203037418,9.93442292531304,77.09031712897426,50.711662097436864,0.21995497914741638,0.09999999999999432,0.006534355233166291,0.004298438856524085,-0.0174320472024192,1.3396489756569027e-05,1.314916857409853e-05,1.870035447781387,1.8700352004602045,288.23803399966016,189.60915362905538,-1.310441050786487,-0.8620361965162752,1.0354718059708763,0.17792938812924222,0.17793143791607316,-4.498592826585046e-07
180.5,737.2380429,3.150316638888889,17.77974344779261,3594.890894602682,1.8700347507927604,357.1518275755972,1.397643181168405,1.8700346175327074,357.1519124291069,1.3976431763046224,1.8700345907169618,357.1519124290835,1.3976431763046238,1.8700345907169753,357.1519124290836,1.8700351950827119,4.369364134254,9.96215022609912,77.26273095441675,50.79758780823738,0.21995452928813372,0.09999999999999432,0.006530463982612075,0.004293555424296129,-0.021307133927166433,1.6213564413747058e-05,1.5966132307930656e-05,1.870050804281389,1.8700505568492833,288.87038914620837,189.92234388545623,-1.3133186667313268,-0.8634618459557326,1.0377831900606096,0.17793055703560007,0.17793260683589707,-5.498615207044644e-07
180.6,739.2899714,3.1520619666666665,17.779630527466217,3594.8695874687546,1.8700500465558483,357.1526319858015,1.3976431350596934,1.8700499804519977,357.1527541875384,1.3976431280550796,1.8700499476743517,357.1527541874899,1.3976431280550825,1.8700499476743755,357.1527541874899,1.8700506864035007,4.381525230497333,9.989877525533919,77.43512556652935,50.88353413689049,0.21995397942661302,0.09999999999999432,0.006526529726591933,0.004288659645203899,-0.025182214163123717,1.9030742509836214e-05,1.8783202609516603e-05,1.8700689784168854,1.870068730876985,289.49987849482045,190.2337839868383,-1.3161838637768826,-0.8648799375339752,1.040093287755269,0.17793194041230936,0.17793399022854317,-6.498635912732809e-07
180.7,741.3419,3.153807294444444,17.779497070575566,3594.8444052545915,1.8700681244029622,357.1535827007529,1.3976430805644768,1.8700681610171326,357.15374904341024,1.3976430710296375,1.8700681222770696,357.1537490433203,1.3976430710296426,1.8700681222771036,357.1537490433203,1.8700689953782177,4.3936863273333335,10.01760482632,77.60750180204941,50.96950146635334,0.21995332956302174,0.10000000000002274,0.0065225524793020824,0.004283751447200623,-0.02905728673295016,2.1848044985349743e-05,2.160040040954338e-05,1.870089970322089,1.870089722677513,290.12648687126506,190.54346621968423,-1.3190365767486008,-0.8662904380589933,1.042402103562994,0.17793353826833552,0.177935588102977,-7.498654641113767e-07
180.8,743.7358167,3.155552622222222,17.779343077161286,3594.8153479678585,1.8700889844677426,357.15467972440484,1.3976430176823627,1.870089159362396,357.15489700079024,1.3976430052278812,1.8700891146592933,357.15489700063694,1.39764300522789,1.8700891146593512,357.1548970006369,1.8700901221425688,4.407874273642,10.04995334390376,77.80848439741695,51.06974864428636,0.21995257969755763,0.09999999999999432,0.006517932668399127,0.004278057664705992,-0.032932350453393155,2.466542645499876e-05,2.4417661120318392e-05,1.8701137800858063,1.8701135323204716,290.8571985796626,190.90468266899916,-1.3223632065584376,-0.8679356383612307,1.0450941073780722,0.1779353506089937,0.17793740046451376,-8.49867108465574e-07
180.9,746.1297333,3.15729795,17.779168547270274,3594.782415617405,1.8701126269044004,357.1559230613193,1.3976429464128983,1.8701129756429669,357.1561980643725,1.3976429306493323,1.8701129249760842,357.1561980641268,1.3976429306493465,1.8701129249761657,357.1561980641268,1.8701140668531437,4.422062219358001,10.08230186013624,78.00941653404539,51.170004905414494,0.21995172983044917,0.09999999999999432,0.006513274268764322,0.004272359557227636,-0.03680740413983585,2.748297466507385e-05,2.7235092098006812e-05,1.8701404079508308,1.8701401600682637,291.58485558378914,191.26406981976865,-1.3256765737125988,-0.8695729284202737,1.0477843786454162,0.17793737745112634,0.17793942732999607,-9.49868493915762e-07
