CAD,rpm,load,CAD in rad,S,volume,pressure(bar),temp_var,gamma_var,P1,T1,gamma1,P2,T2,gamma2,P3,T3,Pm,Sp,vel(m/s),h,h(hohen),Area,d_theta,time,dt,dQ,dQ(hohen),dV,dP,dP(hohen),P_conv,P_conv(hohen),HRR,dV/d0,dP/d0,dQ/d0,HRR(hohen),Heat_flux,Heat_flux(hohen),dA
-90.0,1500,1.995253444,-1.570795,6.5366888965852645,588.300864200912,1.995,357.15,1.3976432859238976,1.87,357.15,1.3976432859238976,1.87,357.15,1.3976432859238976,1.87,357.15,1.995,5.8,13.223999999999998,105.37049389261786,67.60306767824883,0.05363141076003575,0.008726638888888916,-0.5732484076433121,0.0031847133757961776,9.315188633508477e-05,5.976391533938197e-05,-4.140458979502,0.018394518988978238,0.018394496421439577,1.8883945189889784,1.8883944964214396,96.06986007902805,,,,61.63601415194121,-1.7912983961745035,-1.1492521505302302,-0.000162370940372622
-89.5,1500,2.017177343,-1.562068361111111,6.486017995403458,584.16040522141,2.014539883609512,358.10984026317834,1.3975880859844334,2.0140818076100895,358.1543283358912,1.397585518642921,2.014048832226724,358.1543218415422,1.3975855190177575,2.0140488370411513,358.1543218424904,2.014790113861616,5.8,13.223999999999998,111.64286689648956,71.68781469924619,0.053469039819663125,0.008726638888888916,-0.5700636942675159,0.0031847133757961776,9.258497603068448e-05,5.94504135385165e-05,-4.149461169956908,0.019994444650207468,0.0199944220984869,2.0340432816913587,2.0340432591396382,95.48519136469646,-8.280917959004,0.28809767408230247,-364.6664020019561,61.31269193777445,-1.7858033674579283,-1.146695211744327,-0.0001627239674492839
-89.0,1500,2.033046246,-1.553341722222222,6.43523692549272,580.0109440514531,2.0344557649968724,359.0812329811772,1.3975318504078647,2.0342339684383686,359.17058479187915,1.397526658978202,2.0341998528501377,359.17055833024955,1.397526660516115,2.0341998679490563,359.17055833808854,2.03496185796592,5.8,13.223999999999998,112.36035080162584,72.21007293847606,0.05330631585221384,0.008726638888888916,-0.5668789808917197,0.0031847133757961776,8.69945160144969e-05,5.59083368985294e-05,-4.158143957291031,0.02038066387606484,0.02038064257028587,2.054580531825121,2.054580510519342,89.71961073436351,-8.298922339913815,0.040302061815809864,0.5457304549067956,57.65966009289395,-1.6830953199448584,-1.0816665749842718,-0.00016306446891339171
-88.5,1500,2.053358555,-1.5446150833333332,6.384349595705682,575.852800094162,2.0547564137450927,360.0643266112026,1.3974745588152362,2.0547761011490002,360.19891435880936,1.397466685915186,2.054740735875327,360.1988537109948,1.3974666894644656,2.0547407622989957,360.19885373833614,2.0555241112282117,5.8,13.223999999999998,113.08915008532246,72.74101541268878,0.05314325138330045,0.008726638888888694,-0.5636942675159236,0.0031847133757961776,8.12986715848472e-05,5.229279659739899e-05,-4.166504411202709,0.020775909140415133,0.02077588911990103,2.0755166714394107,2.075516651418897,83.84534453410879,-8.316287914582063,0.041081788699878885,0.5600224703850927,53.9308633448593,-1.577723273447587,-1.0148205452443646,-0.00016339232985107532
-88.0,1500,2.070888519,-1.5358884444444445,6.33335995075598,571.6862956829593,2.0754508481747576,361.05927211310507,1.3974161904039486,2.0757173186128552,361.23946415071714,1.3974055780371586,2.075680587508641,361.23935432527577,1.3974055845091629,2.0756806264081256,361.23935439225335,2.076486002089549,5.8,13.223999999999998,113.82947537842266,73.28081403728402,0.052979859053449374,0.008726638888889138,-0.5605095541401274,0.0031847133757961776,7.54949650786026e-05,4.8601932656583505e-05,-4.174539628094749,0.02118043566376425,0.021180416969173617,2.09686106207189,2.096861043377299,77.8598374882354,-8.333008822405418,0.04187972821825969,0.5747013765014941,50.12438345147714,-1.4696120163265356,-0.9461026198825585,-0.00016370743639587682
-87.5,1500,2.092909575,-1.5271618055555554,6.282271970891447,567.5117560548646,2.0965483434566297,362.0662229983135,1.3973567239388154,2.097066990734312,362.2923834345209,1.3973433135184685,2.0970287706605197,362.2922086404277,1.3973433238907442,2.097028823308115,362.29220877562204,2.097856916521351,5.8,13.223999999999998,114.58154219778763,73.82964492953687,0.0528161516170535,0.008726638888888694,-0.5573248407643312,0.0031847133757961776,6.958084719240558e-05,4.4833828761390646e-05,-4.182246732163321,0.0215945069200795,0.02159448959345595,2.1186233302281945,2.118623312901571,71.76046043672125,-8.349079256189498,0.042696393799978694,0.5897786001644221,46.23824406969367,-1.358684005548616,-0.8754565157444012,-0.00016400967577109155
-87.0,1500,2.112001657,-1.5184351666666667,6.231089671553978,563.3295093227013,2.118058440021497,363.08533537982044,1.397296137742946,2.1188347527225244,363.35782365990576,1.3972798701176987,2.118794913203583,363.3575672790506,1.3972798854372064,2.1187949810040947,363.35756752048883,2.1196465063161183,5.8,13.223999999999998,115.34557107697815,74.3876885266784,0.052652141941282406,0.008726638888889138,-0.554140127388535,0.0031847133757961776,6.355369463188723e-05,4.098651033459616e-05,-4.18962287647264,0.022018394934568402,0.022018379019392215,2.140813375938663,2.140813360023487,65.54450791074225,-8.364493464326642,0.043532315391959564,0.6052659321743405,42.27040876883609,-1.2448592876589408,-0.8028241057310828,-0.00016429893633227582
-86.5,1500,2.134267569,-1.5097085277777775,6.179817103026245,559.1398864462286,2.139990952279103,364.1167680232353,1.3972344096884484,2.1410305136587056,364.4359384893753,1.3972152251707908,2.1409889165265272,364.4355830486361,1.3972152465572365,2.140989001029512,364.43558344487275,2.1418646976752713,5.8,13.223999999999998,116.12178770085215,74.95512970768924,0.05248784300495013,0.008726638888888694,-0.5509554140127388,0.0031847133757961776,5.741080767585596e-05,3.7057942537474434e-05,-4.1966652440340795,0.02245238059313369,0.022452366134375627,2.1634413816226457,2.1634413671638875,59.209195620618054,-8.37924575294528,0.0443880400508343,0.6211755390369262,38.21877896906339,-1.1280554168521275,-0.7281453529240851,-0.0001645751076091856
-86.0,1500,2.153261662,-1.5009818888888888,6.128458350065202,554.9432212021945,2.1623559776585943,365.16068239892405,1.3971715171869528,2.1636644653709918,365.52688382845304,1.3971493555841292,2.1636209643953084,365.52641097137786,1.3971493842333984,2.163621067308248,365.5264115826604,2.1645217001056576,5.8,13.223999999999998,116.91042304419908,75.5321579189277,0.052323267897340944,0.008726638888889138,-0.5477707006369427,0.0031847133757961776,5.1149407652409e-05,3.304602819545663e-05,-4.2033710488736915,0.022896753963903126,0.022896741008080385,2.186517821272151,2.1865178083163284,52.75165785280715,-8.393330488068159,0.04526413255747208,0.637519975546077,34.08119180200995,-1.0081873700302266,-0.6513582421663296,-0.00016483808034797182
-85.5,1500,2.176259756,-1.4922552499999997,6.077017531522529,550.7398501533208,2.1851639059833765,366.21724273525473,1.397107437179954,2.186747091628665,366.63081785600855,1.3970822378275876,2.1867015321334446,366.6302083141482,1.397082275015286,2.186701655336066,366.6302092136728,2.1876280156366534,5.8,13.223999999999998,117.71171351454474,76.11896730372587,0.05215842981699297,0.008726638888888694,-0.5445859872611465,0.0031847133757961776,4.4766634323334566e-05,2.894860564522073e-05,-4.209737537096089,0.023351814631375985,0.023351803226610537,2.210053469967442,2.2100534585626765,46.16894477242646,-8.406742097747383,0.04616117605563641,0.6543121972436126,29.8554178904686,-0.8851674587294579,-0.5723987089952975,-0.0001650877465527792
